[2025-07-09 23:47:25] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 09:52:12] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 09:53:48] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 09:54:08] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 10:03:54] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 10:06:27] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 10:07:03] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 10:07:08] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 10:07:30] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 10:09:28] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /check
[2025-07-10 10:09:50] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 10:11:51] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:20:30] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 10:20:58] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a terminé de noter le produit '🧿 Afghan Berry'
[2025-07-10 10:21:04] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /graph
[2025-07-10 10:21:12] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 10:21:50] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 10:21:53] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 10:22:19] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 10:22:32] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:24:38] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /moyennes
[2025-07-10 10:26:35] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:28:01] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:28:58] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:31:17] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:34:35] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:38:41] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /mes_notes
[2025-07-10 10:39:08] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 10:39:26] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /mes_notes
[2025-07-10 10:39:31] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 10:39:37] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:40:25] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 10:41:01] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a terminé de noter le produit '🧟 Zombie Kush'
[2025-07-10 10:42:47] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:45:31] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:47:50] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:48:56] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 10:49:32] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /mes_notes
[2025-07-10 10:51:54] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /mes_notes
[2025-07-10 10:54:23] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /notes
[2025-07-10 10:54:42] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 10:55:09] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a terminé de noter le produit '🪐 Interstellar'
[2025-07-10 10:55:18] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 10:55:23] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /check
[2025-07-10 11:02:17] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /graph
[2025-07-10 11:03:13] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 11:03:30] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 11:09:48] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /graph
[2025-07-10 11:09:51] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a demandé le graphique pour le produit '🧿 Afghan Berry'
[2025-07-10 11:10:19] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 11:10:27] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /notes
[2025-07-10 11:10:37] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /notes
[2025-07-10 11:10:51] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 11:12:57] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /graph
[2025-07-10 11:12:59] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a demandé le graphique pour le produit '🧿 Afghan Berry'
[2025-07-10 11:13:14] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 11:13:45] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a terminé de noter le produit '🍓 Fraise Sauvage'
[2025-07-10 11:13:50] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 11:15:44] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 11:17:36] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 11:19:00] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 11:19:07] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /check
[2025-07-10 11:20:00] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /reset_notes pour 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-10 11:35:20] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 15:37:21] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 15:43:26] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /graph
[2025-07-10 15:43:29] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a demandé le graphique pour le produit '🍑 Dry Sift Peach'
[2025-07-10 15:43:43] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 16:08:33] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a initié la commande /noter
[2025-07-10 16:08:55] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /graph
[2025-07-10 16:08:57] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: a demandé le graphique pour le produit '🍓 Fraise Sauvage'
[2025-07-10 16:09:30] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /selection
[2025-07-10 16:09:55] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /contacts
[2025-07-10 16:10:30] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /notes
[2025-07-11 10:37:00] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 (1389576988741599262) | Action: Commande /debug
[2025-07-13 22:22:56] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /debug
[2025-07-13 22:24:04] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /graph
[2025-07-13 22:24:07] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le graphique pour le produit '🍰 Cheese Cake'
[2025-07-13 22:28:35] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /selection
[2025-07-13 22:28:51] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /debug
[2025-07-13 22:29:20] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /notes
[2025-07-13 22:30:24] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /notes
[2025-07-13 22:45:18] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement général des produits.
[2025-07-13 22:47:30] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement général des produits.
[2025-07-13 22:57:15] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement général des produits.
[2025-07-13 22:57:54] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /graph
[2025-07-13 22:57:55] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le graphique pour le produit '🍰 Cheese Cake'
[2025-07-13 22:58:04] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /check
[2025-07-13 22:58:23] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /debug
[2025-07-13 22:59:36] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /contacts
[2025-07-13 22:59:51] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /selection
[2025-07-13 23:08:09] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement général des produits.
[2025-07-13 23:08:28] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-13 23:28:03] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement des top noteurs.
[2025-07-13 23:31:19] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement des top noteurs.
[2025-07-13 23:43:13] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement des top noteurs.
[2025-07-13 23:44:12] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement des top noteurs.
[2025-07-13 23:51:44] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement des top noteurs.
[2025-07-13 23:52:37] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement des top noteurs.
[2025-07-13 23:54:40] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /selection
[2025-07-13 23:54:43] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /selection
[2025-07-13 23:55:07] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /selection
[2025-07-14 00:03:09] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /selection
[2025-07-14 00:12:16] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 00:13:54] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 00:16:20] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 00:17:00] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 00:18:22] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 00:18:30] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 00:18:39] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de Mxlb
[2025-07-14 00:19:13] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement général des produits.
[2025-07-14 00:21:01] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement général des produits.
[2025-07-14 00:22:14] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement général des produits.
[2025-07-14 00:22:35] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement général des produits.
[2025-07-14 00:23:55] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement général des produits.
[2025-07-14 00:34:06] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /selection
[2025-07-14 00:34:12] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /contacts
[2025-07-14 00:34:20] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 00:34:53] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de $ Kwakote 🥕
[2025-07-14 00:35:00] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 00:35:09] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a initié la commande /noter
[2025-07-14 00:35:35] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a terminé de noter le produit '🍓 Fraise Sauvage'
[2025-07-14 00:35:39] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de $ Kwakote 🥕
[2025-07-14 00:35:43] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement général des produits.
[2025-07-14 00:56:02] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement général des produits.
[2025-07-14 00:56:09] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a initié la commande /noter
[2025-07-14 00:56:36] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a terminé de noter le produit '💎 Dark Saphir'
[2025-07-14 00:56:44] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /contacts
[2025-07-14 00:57:49] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le classement des top noteurs.
[2025-07-14 00:58:06] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de $ Kwakote 🥕
[2025-07-14 00:58:12] User: krakote5288 (692832816416948259) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 12:27:43] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a initié la commande /noter
[2025-07-14 12:33:44] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 12:35:26] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:26:56] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:31:48] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:33:32] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:33:47] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:35:31] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a initié la commande /noter
[2025-07-14 13:35:37] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /graph
[2025-07-14 13:35:39] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le graphique pour le produit '🍓 Fraise Sauvage'
[2025-07-14 13:37:30] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:37:58] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:40:46] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:42:44] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:43:06] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:45:47] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 13:45:50] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 13:49:45] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 13:49:54] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 13:49:56] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 13:50:01] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:52:09] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 13:52:14] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 13:52:19] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 13:59:47] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 14:00:29] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 14:06:10] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 14:06:20] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 14:06:23] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 14:21:22] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 14:21:28] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 14:21:31] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 14:25:20] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 14:25:24] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 14:25:35] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 14:26:07] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /check
[2025-07-14 14:29:17] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /check
[2025-07-14 14:29:46] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /check
[2025-07-14 14:31:19] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /check
[2025-07-14 14:43:30] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /check
[2025-07-14 14:45:31] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /check
[2025-07-14 14:46:58] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de 〚𒀯〛𝓡𝓪𝓯𝓸𝓾𝓪𝓬𝓽𝓲 ƒ 𝓒5𝓗8
[2025-07-14 14:47:23] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /check
[2025-07-14 14:50:41] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 14:50:46] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /check
[2025-07-14 14:51:16] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /check
[2025-07-14 14:51:46] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: Commande /check
[2025-07-14 14:54:33] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a utilisé /check pour vérifier le catalogue.
[2025-07-14 14:58:31] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a utilisé /check pour vérifier le catalogue.
[2025-07-14 15:04:13] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a utilisé /check.
[2025-07-14 15:04:50] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé le menu interactif (/menu)
[2025-07-14 15:04:59] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 15:09:07] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 15:12:36] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 15:16:34] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a demandé la liste des promotions.
[2025-07-14 15:29:46] User: rafouactif (458674191911092226) | Guild: La-Foncedalle.🇫🇷 | Action: a consulté le profil de $ Kwakote 🥕
